X: 3.765869, Y: 3.349304, Z: -100.311279, Timestamp: 3982.504429
X: 3.935242, Y: 3.257751, Z: -100.489807, Timestamp: 3982.530337
X: 3.761292, Y: 3.396606, Z: -100.398254, Timestamp: 3982.556225
X: 3.904724, Y: 3.236389, Z: -100.279236, Timestamp: 3982.582140
X: 3.805542, Y: 3.390503, Z: -100.413513, Timestamp: 3982.608001
X: 3.833008, Y: 3.327942, Z: -100.518799, Timestamp: 3982.633878
X: 3.883362, Y: 3.227234, Z: -100.466919, Timestamp: 3982.659794
X: 3.836060, Y: 3.179932, Z: -100.354004, Timestamp: 3982.685670
X: 3.884888, Y: 3.215027, Z: -100.509644, Timestamp: 3982.711596
X: 3.910828, Y: 3.341675, Z: -100.323486, Timestamp: 3982.737454
X: 3.904724, Y: 3.408813, Z: -100.599670, Timestamp: 3982.763335
X: 3.735352, Y: 3.251648, Z: -100.424194, Timestamp: 3982.789262
X: 3.887939, Y: 3.247070, Z: -100.613403, Timestamp: 3982.815123
X: 3.929138, Y: 3.276062, Z: -100.555420, Timestamp: 3982.841050
X: 3.805542, Y: 3.248596, Z: -100.428772, Timestamp: 3982.866922
X: 4.006958, Y: 3.396606, Z: -100.456238, Timestamp: 3982.900791
X: 4.040527, Y: 3.327942, Z: -100.489807, Timestamp: 3982.944565
X: 3.738403, Y: 3.276062, Z: -100.563049, Timestamp: 3982.970507
X: 3.845215, Y: 3.271484, Z: -100.387573, Timestamp: 3982.996381
X: 3.805542, Y: 3.369141, Z: -100.341797, Timestamp: 3983.022260
X: 3.797913, Y: 3.300476, Z: -100.410461, Timestamp: 3983.048158
X: 3.715515, Y: 3.338623, Z: -100.457764, Timestamp: 3983.074055
X: 3.663635, Y: 3.448486, Z: -100.402832, Timestamp: 3983.099977
X: 3.858948, Y: 3.434753, Z: -100.569153, Timestamp: 3983.125839
X: 3.782654, Y: 3.401184, Z: -100.354004, Timestamp: 3983.151735
X: 4.010010, Y: 3.416443, Z: -100.450134, Timestamp: 3983.177654
X: 3.770447, Y: 3.242493, Z: -100.645447, Timestamp: 3983.203521
X: 3.805542, Y: 3.514099, Z: -100.563049, Timestamp: 3983.229449
X: 3.721619, Y: 3.330994, Z: -100.495911, Timestamp: 3983.255331
X: 3.971863, Y: 3.466797, Z: -100.700378, Timestamp: 3983.281203
X: 3.854370, Y: 3.282166, Z: -100.631714, Timestamp: 3983.307101
X: 3.726196, Y: 3.294373, Z: -100.549316, Timestamp: 3983.333003
X: 3.694153, Y: 3.421021, Z: -100.547791, Timestamp: 3983.358921
X: 3.793335, Y: 3.384399, Z: -100.682068, Timestamp: 3983.384782
X: 3.738403, Y: 3.196716, Z: -100.639343, Timestamp: 3983.410673
X: 3.674316, Y: 3.334045, Z: -100.741577, Timestamp: 3983.436593
X: 3.811646, Y: 3.375244, Z: -100.601196, Timestamp: 3983.462462
X: 3.970337, Y: 3.131104, Z: -100.444031, Timestamp: 3983.488383
X: 3.749084, Y: 3.346252, Z: -100.703430, Timestamp: 3983.514263
X: 3.796387, Y: 3.279114, Z: -100.735474, Timestamp: 3983.540131
X: 3.771973, Y: 3.373718, Z: -100.584412, Timestamp: 3983.566043
X: 3.862000, Y: 3.335571, Z: -100.314331, Timestamp: 3983.591938
X: 3.884888, Y: 3.477478, Z: -100.564575, Timestamp: 3983.617857
X: 3.831482, Y: 3.393555, Z: -100.592041, Timestamp: 3983.643717
X: 3.846741, Y: 3.408813, Z: -100.466919, Timestamp: 3983.669614
X: 3.712463, Y: 3.334045, Z: -100.575256, Timestamp: 3983.695520
X: 3.919983, Y: 3.195190, Z: -100.691223, Timestamp: 3983.721395
X: 3.819275, Y: 3.303528, Z: -100.625610, Timestamp: 3983.747335
X: 3.894043, Y: 3.407288, Z: -100.662231, Timestamp: 3983.773200
X: 3.814697, Y: 3.353882, Z: -100.502014, Timestamp: 3983.799070
X: 3.848267, Y: 3.314209, Z: -100.659180, Timestamp: 3983.824994
